"Task ID","Task Name","tags","Przeznaczenie (drop down)","Klawiatura (labels)","Obudowa (labels)","Procesor (drop down)","Model Procesora (short text)","Grafika (short text)","RAM (drop down)","Dysk (drop down)","Rozdzielczość (drop down)","Matryca (labels)","Problemy (labels)","Uwagi (text)","Regał (drop down)","Lists","Zamówienie (short text)"
"86bwd87fx","ghmmmq2","[dell precision 7530]","Przyjęcie","[Pionowy Enter ISO / EU, Brytyjska, Podświetlana]","[Ok]","i7","8850H","P1000 Quadro","16","512","1920 x 1080","[Bez wad]","","","3","[24.10.23 TES FRANCJA -]",""
"86bwd89wr","20dm6s2","[dell precision 7530]","Serwis","[Pionowy Enter ISO / EU, Brytyjska, Podświetlana]","[Pęknięcie / Uszczerbek]","i7","8850H","P1000 Quadro","32","512","1920 x 1080","[Mikro otarcia, Mikro poświatka]","","pękniety spód
","3","[24.10.23 TES FRANCJA -]",""
"86bwd8dh6","bx436s2","[dell precision 7530]","Magazyn","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i7","8850H","P2000 Quadro","16","BRAK","1920 x 1080","[Zwykłe ryski / otarcia, Mikro poświatka]","","","3","[24.10.23 TES FRANCJA -]",""
"86bwd8pm6","75PM8Y2","[dell precision 7730]","Magazyn","[Pionowy Enter ISO / EU, Podświetlana, Inna]","[Ok]","i7","8750H","P3200 Quadro","64","512","1920 x 1080","[Bez wad]","","obudowa spód odstaje trochę
","3","[24.10.23 TES FRANCJA -]",""
"86bwd9eaq","6GCB1Z2","[dell precision 7730]","Magazyn","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i7","8850H","P3200 Quadro","64","1000","1920 x 1080","[Zwykłe ryski / otarcia]","","
wytarty touchpad","3","[24.10.23 TES FRANCJA -]",""
"86bwd9k2x","d8b1xt2","[dell precision 7730]","Magazyn","[Krótki Enter ANSI / US, QWERTY PL, Podświetlana]","[Ok]","i7","8750H","P3200 Quadro","64","512","1920 x 1080","[Bez wad]","","
wytarty touchpad","3","[24.10.23 TES FRANCJA -]",""
"86bwdamj9","6lmjjr2","[dell precision 7730]","Magazyn","[Pionowy Enter ISO / EU, Podświetlana, Inna]","[Ok]","i7","8750H","P3200 Quadro","64","512","1920 x 1080","[Bez wad]","","
","3","[24.10.23 TES FRANCJA -]",""
"86bwdqmb4","jf5bnf2","[dell precision 7730]","Magazyn","[Pionowy Enter ISO / EU, Brytyjska, Podświetlana]","[Ok]","i7","8850H","P3200 Quadro","32","512","1920 x 1080","[Zwykłe poświatki]","","

","3","[24.10.23 TES FRANCJA -]",""
"86bwdqmnf","4RYDZW2","[dell precision 7730]","Magazyn","[Pionowy Enter ISO / EU, Brytyjska, Podświetlana]","[Ok]","i7","8750H","P3200 Quadro","64","512","1920 x 1080","[Bez wad]","","
","3","[24.10.23 TES FRANCJA -]",""
"86bwdqnyt","2w0c8s2","[dell precision 7730]","Magazyn","[Pionowy Enter ISO / EU, Podświetlana, Inna]","[Ok]","i7","8750H","P3200 Quadro","64","512","1920 x 1080","[Bez wad]","","
","3","[24.10.23 TES FRANCJA -]",""
"86bwdqtf6","2bfk4q2","[dell precision 5520]","Serwis","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Wgniotka / Odstaje]","i7","6820HQ","M1200 Quadro","16","1000","3840 x 2160","[Dotyk, Bez wad]","","obudowa rozchodzi się na dole","3","[24.10.23 TES FRANCJA -]",""
"86bwdqv8h","dxqwqn2","[dell precision 5520]","Magazyn","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i7","6820HQ","M1200 Quadro","16","512","1920 x 1080","[Bez wad]","","","3","[24.10.23 TES FRANCJA -]",""
"86bwdqw9p","9yz5rn2","[dell precision 5520]","Magazyn","[Pionowy Enter ISO / EU, Podświetlana, Inna]","[Ok]","i7","6820HQ","M1200 Quadro","16","512","1920 x 1080","[Mikro poświatka]","","","3","[24.10.23 TES FRANCJA -]",""
"86bwdr97h","F2B70N2","[dell precision 5520]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Ok]","","","","","","","[Problem]","","brak podświetlenia ekranu, tylko diodia zasilania świeci
","3","[24.10.23 TES FRANCJA -]",""
"86bwdrzvw","8N2WLQ2","[dell precision 5520]","Serwis","[Pionowy Enter ISO / EU, Niekompletna, Inna]","[Ok]","","","","","","","[Problem]","","brak podświetlenia ekranu, tylko diodia zasilania świeci
","3","[24.10.23 TES FRANCJA -]",""
"86bwdtgbk","d3kwqn2","[dell precision 5520]","Magazyn","[Pionowy Enter ISO / EU, Podświetlana, Inna]","[Klapa ma otarcia, Ok]","i7","6820HQ","M1200 Quadro","16","512","1920 x 1080","[Zwykłe ryski / otarcia]","","ryski na klapie, palmrest wytarty","3","[24.10.23 TES FRANCJA -]",""
"86bwdtxjm","CNU2152MFF","[hp probook 6460b]","Przyjęcie","","","","","","","","","","","","","[24.10.23 TES FRANCJA -]",""
"86bwe7nch","241KWT2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Inna]","[Ok]","i7","8650U","","16","256","1920 x 1080","[Mikro poświatka]","","
","","[24.10.23 TES FRANCJA -]",""
"86bwe7uzm","C5CJHR2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Inna]","[Ok]","i7","8650U","","16","256","1920 x 1080","[Zwykłe ryski / otarcia]","","","","[24.10.23 TES FRANCJA -]",""
"86bwe7y3h","G6CJHR2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Inna]","[Ok]","i7","8650U","","16","256","1920 x 1080","[Zwykłe ryski / otarcia, Dotyk]","","","","[24.10.23 TES FRANCJA -]",""
"86bwe7zyb","B1CJHR2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Inna]","[Ok]","i7","8650U","","16","256","1920 x 1080","[Bez wad]","","","","[24.10.23 TES FRANCJA -]",""
"86bwe872x","7qvwyw2","[dell latitude 7490]","Przyjęcie","[Krótki Enter ANSI / US, QWERTY PL, Podświetlana]","[Klapa ma otarcia, Ok]","i7","8650U","","8","256","1920 x 1080","[Mikro otarcia]","","DZIALA BARDZO GLOSNO
","1","[24.10.23 TES FRANCJA -]",""
"86bwe8v3k","DTV6NF2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i7","8650U","","8","256","1920 x 1080","[Wielka rysa / rysy, Mikro poświatka]","","","1","[24.10.23 TES FRANCJA -]",""
"86bwe8xmt","9BPMWT2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i7","8650U","","8","256","1920 x 1080","[Bez wad]","","","1","[24.10.23 TES FRANCJA -]",""
"86bwe903c","8X0GMQ2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Brytyjska, Podświetlana]","[Ok]","i7","8650U","","20","256","1920 x 1080","[]","","","","[24.10.23 TES FRANCJA -]",""
"86bwe94bg","C8CRHR2","[dell latitude 7490]","Magazyn","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i7","8650U","","8","256","1920 x 1080","[Zwykłe ryski / otarcia, Zwykłe poświatki]","","","1","[24.10.23 TES FRANCJA -]",""
"86bwe9g6r","6GPMWT2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i7","8650U","","8","256","1920 x 1080","[Bez wad]","","","3","[24.10.23 TES FRANCJA -]",""
"86bwe9z9n","493NHR2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Brytyjska, Uszkodzona, Podświetlana]","","i7","8650U","","16","256","1920 x 1080","[Zwykłe ryski / otarcia, Zwykłe poświatki, Wielka rysa / rysy]","[Bateria brak, Ramka Matrycy]","klawisze trzeba mocniej docisnąć to działają
","","[24.10.23 TES FRANCJA -]",""
"86bweafng","96MD8S2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i7","8650U","","8","256","1920 x 1080","[Bez wad]","","","1","[24.10.23 TES FRANCJA -]",""
"86bwebpx2","9XP4XT2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i7","8650U","","8","256","1920 x 1080","[Mikro otarcia]","","brak gumki od spodu","1","[24.10.23 TES FRANCJA -]",""
"86bwebyea","38mx0x2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Brytyjska, Podświetlana]","[Ok]","i7","8650U","","8","256","1920 x 1080","[Bez wad]","","naroznik z tylu lekko zdarty","1","[24.10.23 TES FRANCJA -]",""
"86bwec2vy","dw6lvt2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Brytyjska, Podświetlana]","[Ok]","i7","8650U","","8","256","1920 x 1080","[Bez wad]","","","9","[24.10.23 TES FRANCJA -]",""
"86bwec5gy","7MBBPV2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Brytyjska, Podświetlana]","[Ok]","i7","8650U","","8","256","1920 x 1080","[Mikro poświatka]","","","9","[24.10.23 TES FRANCJA -]",""
"86bwec693","6qvmwt2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i7","8650U","","8","256","1920 x 1080","[Mikro otarcia]","[Bateria brak, Klapa X, Bateria bios]","","1","[24.10.23 TES FRANCJA -]",""
"86bwecg60","DBY12X2","[dell latitude 7490]","Serwis","[Krótki Enter ANSI / US, QWERTY PL, Podświetlana]","[Klapa ma otarcia, Ok]","i7","8","","","","","[Problem]","[Nie włącza się]","BRAK OBRAZU, TYLKO DIODY, wyswietla kolory po wcisnieniu wlacznika i D
","","[24.10.23 TES FRANCJA -]",""
"86bwecjxv","82cjhr2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Inna]","[Ok]","i7","8650U","","16","256","1920 x 1080","[Bez wad]","","
","1","[24.10.23 TES FRANCJA -]",""
"86bwecud7","24pfmq2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Brytyjska, Podświetlana]","[Ok]","i7","8650U","","8","256","1920 x 1080","[Mikro poświatka]","","","9","[24.10.23 TES FRANCJA -]",""
"86bwecw8w","7x19nf2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i7","8650U","","16","256","1920 x 1080","[Bez wad]","","","9","[24.10.23 TES FRANCJA -]",""
"86bwed87v","hjb1wt2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","","i7","8650U","","16","256","1920 x 1080","[Bez wad]","[Palmrest]","drobny uszczerbek pod usb","","[24.10.23 TES FRANCJA -]",""
"86bwedaep","91pfmq2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Brytyjska, Podświetlana]","[Ok]","i7","8650U","","8","256","1920 x 1080","[Zwykłe ryski / otarcia]","","","9","[24.10.23 TES FRANCJA -]",""
"86bweddtk","1rqqvt2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Niemiecka]","[Ok]","i7","8650U","","8","256","1920 x 1080","[Zwykłe ryski / otarcia]","","","9","[24.10.23 TES FRANCJA -]",""
"86bwedx2v","dzpjhr2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Inna]","","i7","8650U","","16","BRAK","1920 x 1080","[Zwykłe ryski / otarcia]","[Bateria brak, Touchpad]","

","","[24.10.23 TES FRANCJA -]",""
"86bwee0b3","32PFMQ2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Brytyjska, Podświetlana]","[Ok]","i7","8650U","","8","256","1920 x 1080","[Bez wad]","","","1","[24.10.23 TES FRANCJA -]",""
"86bwee47m","HRJJHR2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Inna]","[Ok]","i7","8650U","","8","256","1920 x 1080","[Bez wad]","","","9","[24.10.23 TES FRANCJA -]",""
"86bwee6j1","4RJJHR2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Inna]","[Ok]","i7","8650U","","16","256","1920 x 1080","[Bez wad]","","","","[24.10.23 TES FRANCJA -]",""
"86bwee90g","CRJJHR2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Inna]","[Ok]","i7","8650U","","16","256","1920 x 1080","[Bez wad]","","","","[24.10.23 TES FRANCJA -]",""
"86bweebkg","76CJHR2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Inna]","[Ok]","i7","8650U","","16","256","1920 x 1080","[Bez wad]","","","","[24.10.23 TES FRANCJA -]",""
"86bweed9k","8ZBJHR2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Inna]","[Ok]","i7","8650U","","16","256","1920 x 1080","[Mikro otarcia]","","TOUCHPAD I PALMREST WYTARTE","","[24.10.23 TES FRANCJA -]",""
"86bweefff","DR615S2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Inna]","[Klapa ma otarcia, Ok]","i7","8650U","","20","256","1920 x 1080","[Bez wad]","","","1","[24.10.23 TES FRANCJA -]",""
"86bweemtv","46H0NQ2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Inna]","[Klapa ma otarcia, Ok]","i7","8650U","","16","500","1920 x 1080","[Wielkie poświaty, Zwykłe ryski / otarcia]","","Ciemniejsze plamy na bialym, brak gumki od dolu","1","[24.10.23 TES FRANCJA -]",""
"86bwef36e","18crhr2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok, Pęknięcie / Uszczerbek]","i7","8650U","","8","256","1920 x 1080","[Zwykłe ryski / otarcia]","[Spód X, Bateria brak]","na spodzie uszczerbek w rogu","","[24.10.23 TES FRANCJA -]",""
"86bwepw9h","R90MWX09","[lenovo thinkpad t560]","Malarnia","[Pionowy Enter ISO / EU, Wytarta, Francuska]","[Ok]","i5","6300U","","8","180","1920 x 1080","[Bez wad]","","
","","[24.10.23 TES FRANCJA -]",""
"86bweq112","R90MWX0A","[lenovo thinkpad t560]","Serwis","[Pionowy Enter ISO / EU, Wytarta, Francuska]","[Pęknięcie / Uszczerbek]","i5","6300U","","8","","","[Problem, Bad pixel / robaczek]","[Włącznik, Bateria brak, Palmrest, Ramka Matrycy]","
pęknięty bok, 
po ruszaniu matrycą pasy kolorowe, ","12","[24.10.23 TES FRANCJA -]",""
"86bwequbq","R90N9NTD","[lenovo thinkpad t560]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Pęknięcie / Uszczerbek]","i5","6300U","","8","180","1920 x 1080","[Bez wad]","","
","12","[24.10.23 TES FRANCJA -]",""
"86bweqxp2","r90k7j1w","[lenovo thinkpad t560]","Serwis","[Pionowy Enter ISO / EU, Wytarta, Francuska]","[Ok]","i5","6300U","","8","180","1920 x 1080","[Bez wad]","[Włącznik]","
włącznik zapadnięty","12","[24.10.23 TES FRANCJA -]",""
"86bwerwrr","R90MBQ6Y","[lenovo thinkpad t560]","Serwis","[Pionowy Enter ISO / EU, Wytarta, Francuska]","[Ok]","","","","","","","[]","[Fan Error]","
","12","[24.10.23 TES FRANCJA -]",""
"86bweut3j","r90pl9g3","[lenovo thinkpad t570]","Serwis","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i5","7300U","","8","BRAK","1920 x 1080","[Wszędzie otarcia]","[Włącznik, Bateria brak]","","12","[24.10.23 TES FRANCJA -]",""
"86bwev1y4","R90NKTFH","[lenovo thinkpad t570]","Przyjęcie","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","7300U","","8","BRAK","1920 x 1080","[Zwykłe ryski / otarcia, Zwykłe poświatki]","[Włącznik]","zapadniety wlacznik","12","[24.10.23 TES FRANCJA -]",""
"86bwevry0","R90NKTFL","[lenovo thinkpad t570]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i5","7300U","","8","180","1920 x 1080","[Zwykłe ryski / otarcia]","[Włącznik, Bateria brak]","","12","[24.10.23 TES FRANCJA -]",""
"86bwewqud","r90nktft","[lenovo thinkpad t570]","Serwis","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Klapa ma otarcia, Pęknięcie / Uszczerbek]","i5","7300U","","8","180","1920 x 1080","[Zwykłe ryski / otarcia, Mikro poświatka]","[]","uszkodzony narożnik","12","[24.10.23 TES FRANCJA -]",""
"86bwewz7z","r90nktfc","[lenovo thinkpad t570]","Serwis","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i5","7300U","","8","BRAK","1920 x 1080","[Wszędzie otarcia]","[Zawiasy , Ramka Matrycy]","","12","[24.10.23 TES FRANCJA -]",""
"86bwex2fz","r90pndtl","[lenovo thinkpad t570]","Serwis","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i5","7300U","","8","BRAK","1920 x 1080","[Wszędzie otarcia, Zwykłe poświatki]","[Włącznik, Bateria brak]","","12","[24.10.23 TES FRANCJA -]",""
"86bwf80mh","r90pya4r","[lenovo thinkpad t570]","Przyjęcie","[Krótki Enter ANSI / US, Wytarta, QWERTY PL]","[Ok]","i5","6300U","","8","BRAK","1920 x 1080","[Zwykłe ryski / otarcia]","[Włącznik, Bateria brak]","zapadniety wlacznik

","12","[11.2023 ALLROUND PC T570 -]",""
"86bwf9f1v","R90PWFL8","[lenovo thinkpad t570]","Przyjęcie","[Krótki Enter ANSI / US, QWERTY PL]","[Ok]","i5","6300U","","8","256","1920 x 1080","[Wszędzie otarcia]","[Włącznik]","

","12","[11.2023 ALLROUND PC T570 -]",""
"86bwf9gt7","R90PRT2N","[lenovo thinkpad t570]","Serwis","[Krótki Enter ANSI / US, Wytarta, QWERTY PL]","[Klapa ma otarcia, Ok]","i5","6300U","","8","256","1920 x 1080","[Zwykłe ryski / otarcia, Mikro poświatka]","[Włącznik, Bateria brak, Zawiasy ]","","12","[11.2023 ALLROUND PC T570 -]",""
"86bwfeg2q","R90PWFEJ","[lenovo thinkpad t570]","Serwis","[Krótki Enter ANSI / US, QWERTY PL]","[Ok]","","","","","","","[Zbita]","[Włącznik, Bateria brak]","","12","[11.2023 ALLROUND PC T570 -]",""
"86bwfegna","r90pwfez","[lenovo thinkpad t570]","Serwis","[Krótki Enter ANSI / US, QWERTY PL]","[Ok]","i5","6300U","","8","","","[Zbita]","[Włącznik, Bateria brak]","","12","[11.2023 ALLROUND PC T570 -]",""
"86bwfegtj","r90pwfam","[lenovo thinkpad t570]","Serwis","[Krótki Enter ANSI / US, QWERTY PL]","[Ok]","","","","","","","","[Włącznik, Bateria brak, Nie włącza się]","","12","[11.2023 ALLROUND PC T570 -]",""
"86bwfeh1d","r90pyafg","[lenovo thinkpad t570]","Magazyn","[Krótki Enter ANSI / US, Wytarta, QWERTY PL]","[Ok]","i5","6300U","","8","BRAK","1920 x 1080","[Zwykłe ryski / otarcia, Zwykłe poświatki]","[]","","12","[11.2023 ALLROUND PC T570 -]",""
"86bwfehae","r90pya99","[lenovo thinkpad t570]","Przyjęcie","[Krótki Enter ANSI / US, Wytarta, QWERTY PL]","[Ok]","i5","6300U","","8","BRAK","1920 x 1080","[Zwykłe ryski / otarcia]","[]","","","[11.2023 ALLROUND PC T570 -]",""
"86bwfejxb","R90PWF8Y","[lenovo thinkpad t570]","Serwis","[Krótki Enter ANSI / US, Wytarta, QWERTY PL]","[Pęknięcie / Uszczerbek]","i5","6300U","","8","256","1920 x 1080","[Zwykłe ryski / otarcia, Mikro poświatka]","[Bateria brak]","","12","[11.2023 ALLROUND PC T570 -]",""
"86bwfenph","R90NSZY4","[lenovo thinkpad t570]","Magazyn","[Pionowy Enter ISO / EU, Wytarta, Francuska]","[Klapa ma otarcia, Ok]","i5","6300U","","16","BRAK","1920 x 1080","[Zwykłe ryski / otarcia]","[]","","12","[11.2023 ALLROUND PC T570 -]",""
"86bwfeu6b","R90PYABX","[lenovo thinkpad t570]","Magazyn","[Krótki Enter ANSI / US, QWERTY PL]","[Ok]","i5","6300U","","8","256","1920 x 1080","[Zwykłe ryski / otarcia, Mikro poświatka]","[]","","12","[11.2023 ALLROUND PC T570 -]",""
"86bwfew24","R90PYANW","[lenovo thinkpad t570]","Magazyn","[Krótki Enter ANSI / US, Wytarta, QWERTY PL]","[Ok]","i5","6300U","","8","BRAK","1920 x 1080","[Zwykłe ryski / otarcia]","[]","drasniecie na dole ramki matrycy","12","[11.2023 ALLROUND PC T570 -]",""
"86bwfexap","R90PWFLN","[lenovo thinkpad t570]","Serwis","[Krótki Enter ANSI / US, QWERTY PL]","[Ok]","i5","6300U","","","","","[Zbita]","[Włącznik, Bateria brak, Hasło Bios]","","12","[11.2023 ALLROUND PC T570 -]",""
"86bwfey39","R90PYABZ","[lenovo thinkpad t570]","Przyjęcie","[Krótki Enter ANSI / US, QWERTY PL]","[Ok]","i5","6300U","","8","BRAK","","[Zwykłe ryski / otarcia]","[Bateria brak, Palmrest]","

","12","[11.2023 ALLROUND PC T570 -]",""
"86bwfez4a","R90PYANR","[lenovo thinkpad t570]","Serwis","[Krótki Enter ANSI / US, QWERTY PL]","[Pęknięcie / Uszczerbek]","i5","6300U","","8","BRAK","1920 x 1080","[Wszędzie otarcia]","[Włącznik, Bateria brak, Inny]","","12","[11.2023 ALLROUND PC T570 -]",""
"86bwff3fq","R90PYA72","[lenovo thinkpad t570]","Serwis","[Krótki Enter ANSI / US, QWERTY PL]","[Ok]","","","","","","","[Zbita]","[Włącznik, Bateria brak, Hasło Bios]","","12","[11.2023 ALLROUND PC T570 -]",""
"86bwff6z6","R90PWF9G","[lenovo thinkpad t570]","Serwis","[Krótki Enter ANSI / US, QWERTY PL]","[Ok]","i5","6300U","","","","","[]","[Włącznik, Bateria brak, Nie włącza się]","BRAK OBRAZU
","12","[11.2023 ALLROUND PC T570 -]",""
